title,adult,original_language,overview,tagline,genres,production_country,year
The Devil in Miss Jones,1,5,"Following her suicide, middle-aged Justine finds herself at the threshold to hell. In order to fully earn her forthcoming destiny, she pleads with guardian Abaca to grant her a reprieve. He agrees and sends Justine on her journey through a missed lifetime of sensual pleasures.",['If you have to go to Hell... go for a reason.'],['Drama'],70,1973
Top Guns,1,5,"Fly hard with deep throttle action as Jesse Jane and Riley Steele show the men the true definition of hardcore power. They are the new top guns, the two best female fighter pilots the Air Force has to offer going up against their arch rivals, Kayden Kross and Stoya, the unbeatable bitches from the Navy. It's lust-fueled girls going up against the hardest fly boys in the military to prove they've got more thrust in their game and more devious tactics than any enemy riding their tail.",['Get ready for the ride of your life.'],"['Action', 'Drama']",70,2011
The Sinful Dwarf,1,3,Olaf and his mother run a boarding house and a white slavery ring. They smuggle heroin to keep the addicted girls happy so they do not try and escape. A young couple move into the house and the evil landlords take a liking to the female.,['A young bride... left alone to the lewd passions of an evil dwarf!'],"['Crime', 'Horror']",15,1973
Star Wars XXX: A Porn Parody,1,5,"Will Leia succumb to the darkside of the force? Will Han shoot first? Will Chewy get lucky? You will get all the answers, and much, much more in this adult parody of Episode IV: A New Hope.","['A long time ago in a parody far', 'far away...']","['Comedy', 'Science Fiction']",70,2012
I Want Your Love,1,5,"After a decade of living in San Francisco, Jesse is forced to move back to his Midwestern roots because he can no longer afford the city. On his final night in the city, friends and ex-lovers gather for a going away party that promises to heighten Jesse's already bittersweet feelings about leaving.","['Initimate', 'sexy', 'unflinchingly honest']",['Drama'],70,2012
Taboo II,1,5,"The story of seduction continues from the Scott family to the McBride’s, where mother and son, brother and sister, father and daughter enter the perverse world of incestuous pleasures.",['More than brother and sister... they were lovers!'],"['Drama', 'Romance']",70,1982
Café Flesh,1,5,"In the future, humans are divided into Sex Negatives and Sex Positives. The negatives get sick if they have sex so they go to Café Flesh to see positives who are forced to perform on stage for the negatives. Lana is a positive who everyone thinks is a negative and she must decide whether to come clean or not.","[""THE TIME... Five Years After The Nuclear War. THE SURVIVORS... Post-Nuke Thrill Seekers Lookin' For A Kick.""]","['Drama', 'Science Fiction', 'Comedy']",70,1982
Malabimba: The Malicious Whore,1,13,"Bimba, a teenage temptress, plunges her entire family—including her widowed father, wanton aunt, invalid uncle and even a beloved nun—into the depths of sexual depravity. Is she possessed by demonic lust or just going through a really freaky puberty?",['A teen temptress consumed by the depraved lust of satan!'],"['Drama', 'Horror']",38,1979
The Opening of Misty Beethoven,1,5,"Inspired by My Fair Lady, this interpretation of Pygmalion is about a sexologist who attempts to transform Misty from a hooker into sensuous instrument of passion. Misty's big test is to seduce a homosexual artist, but during her training the relationship between Misty and her doctor grows.",['She learned to swallow her pride...'],"['Comedy', 'Romance']",70,1976
Cinderella XXX: An Axel Braun Parody,1,5,"From legendary director Axel Braun comes the third chapter in the highly successful Wicked Fairy Tales series, a sexy take on the classic Charles Perrault story featuring Samantha Saint as the persecuted heroine, Veronica Avluv as the Evil Stepmother, and porn superstar Julia Ann as the Fairy Godmother.",['Desire. Defy. Escape.'],"['Comedy', 'Fantasy']",70,2014
Thundercrack!,1,5,"An eccentric and alcoholic widow hosts a motley assortment of travelers - four men, three women and one gorilla - who arrive one eventful night to get out of a torrential rainstorm.",['Ecstasy so great that all Heaven and Hell became but one Shangri-La!  An Epic of Massive Impact...'],"['Comedy', 'Horror']",70,1975
Suicide Squad XXX: An Axel Braun Parody,1,5,Convicts are given a mission to stop the Enchantress by any means possible.,['Hottest. Heroes. Ever.'],['Comedy'],70,2016
SexWorld,1,5,A bus tour takes its passengers to a place called SexWorld where they can live out their most secret desires during a weekend.,"[""'Westworld' was for children"", ""'Futureworld' was for teenagers"", 'but... Sex World is definitely for ADULTS!']","['Romance', 'Science Fiction']",70,1978
Sensational Janine,1,4,"Destined to become a famous madame, a young woman experiences her sexual awakenings.","[""Incredibly Voluptuous. Meet Janine - Sexy. Shapely. Savage. Sensuous ... She's Sensational Janine.""]","['Comedy', 'Romance']",23,1976
Images in a Convent,1,13,Locked behind the walls of a convent are an order of beautiful nuns whose vows force them to forget the pleasures of sexual contact. Crazed with lust and desire many of the nuns pleasure themselves and each other in fear of the Mother Superior. One night a wounded man is found on the grounds of the convent and is brought inside to be healed. He becomes the focus of the young nuns' desires as each one tries to visit this young man. But along with him has come the evil force of Satan. A local priest proceeds to exorcise the demon from within the holy building driving the nuns into a delirium of sexual madness.,['The Most Explicit Nunsploitation Film Ever Made'],"['Drama', 'Thriller']",38,1979
1 Night in Paris,1,5,"The exclusive Paris Hilton sex video, where she and Rick Salomon's private footage of one hot and steamy night together is exposed.","[""America's Hottest Hotel Heiress Gets Nasty On Camera!!!""]",['Romance'],70,2004
Barbara Broadcast,1,5,"In a restaurant in New York, the menu is unusual, with some sauces prepared by waiters on the spot. In this scenery, at another table, a reporter interviews a famous prostitute.",['Tune in and turn on with ...'],"['Comedy', 'Drama']",70,1977
Batman v Superman XXX: An Axel Braun Parody,1,5,"Harley Quinn, Catwoman, Maxima, Supergirl, and a bodacious Wonder Woman join an extraordinary cast of hot characters in this highly erotic and totally epic spoof. Two heroes will rise. And in more ways than one!",['Justice is coming'],"['Fantasy', 'Action']",70,2015
Doriana Gray,1,4,A lonely aristocrat Miss Gray has a twin sister who's in an asylum. They share a strange bond. Miss Gray is rational but frigid while her sister is insane yet feels sexual pleasure for both of them.,['The 1000 Shades Of Doriana Grey'],"['Drama', 'Horror', 'Fantasy']",66,1976
Dracula Sucks,1,5,"At an exclusive sanitarium, strange things are happening: patients are acting differently and are being found with mysterious bite marks in their necks. Visiting professor, Van Helsing, believes it to be the work of vampires. With the arrival of Count Dracula, things get even stranger and more violent, as the diabolical count sets his sights on the beautiful Mina.",['This Time the Count is Not Just Going for Throat!'],"['Comedy', 'Horror']",70,1978
Taboo IV: The Younger Generation,1,5,"Dr. Jeremy Lodge, a very strict father and psychologist, has sent his two daughters to boarding school. The eldest daughter, Naomi is caught having sex in her dorm and is kicked out of school. When the two sisters return home, Dr. Lodge discovers that his wife has had an affair with his brother and angrily throws her out. Naomi chooses to live with her mother and uncle, while Robin chooses to stay with her father. Naomi seduces her uncle and has sex with him, while Robin develops a yearning for her father.",['The younger generation awaits you!'],"['Drama', 'Romance']",70,1985
Fly Girls,1,5,"The skies are a whole lot friendlier when a group of the world's most beautiful porn stars pose as slutty flight attendants and sneak onto a plane to shoot a reality show. Cleared for take-off, the captain leaves the real stewardesses detained in security. Sex erupts aboard the flight, and the horny bliss proves too much for the weak-hearted pilot. Now it's up to Digital Playground's girls to land the plane to safety.",['Unfasten your belt and get ready for takeoff'],['Comedy'],70,2010
Peter Pan XXX: An Axel Braun Parody,1,5,"Legendary director Axel Braun puts his sexy spin on the timeless story of Peter Pan in the fourth Wicked Fairy Tales release. Take a magical trip to Neverland with Wendy, Tiger Lily, and two very mischievous memaids as they help Peter fight the villainous Captain Hook and rescue Tinker Bell, played to perfection by Riley Steele. With an all-star cast, steamy sex, and the high production value that fans have come to expect from Axel Braun and Wicked Pictures, ""Peter Pan XXX: An Axel Braun Parody"" is an exciting, exhilarating, unforgettable erotic adventure!","[""Second star to the right and hard 'til morning.""]",['Comedy'],70,2015
A Thousand and One Erotic Nights,1,5,"Distrustful of women, a sultan executes anyone from his harem whom he sleeps with. One of these women is Scheherezade, who aims to regale the sultan with an erotic tale each night in an effort to postpone her fate.",['The Story Of Scheherazade'],"['Drama', 'Fantasy']",70,1982
Rock Paper Scissors,1,4,"Felix plans to spend the weekend at a music festival in Amsterdam with his buddy, Kai. Meanwhile, his girlfriend, Emmi, ought to stay home and grade papers. But commitment is not exactly Kai‘s strongest suit, and then Emmi‘s high school friend, Magda, turns up with some intriguing revelations. Naturally, things get a little out of hand—and everybody is naked in the end!","['A refreshingly up-to-date', 'sun-dappled homage to 1970s porn']",['Comedy'],23,2015
Rolls-Royce Baby,1,4,A woman gets her chauffeur to driver her around in her Rolls-Royce where she picks up hitchhikers and seduces them in the backseat.,['A girl who knows what she wants!'],['Comedy'],28,1975
Justice League XXX: An Axel Braun Parody,1,5,"Legendary director Axel Braun unites the heroes of his DC AxelVerse in more ways than one, in this epic Wicked Comix mega-production.","[""It's Time to Come Together!""]","['Fantasy', 'Comedy']",70,2017
Boys in the Sand,1,5,"Casey Donovan stars in this dream-like sex fantasy set in New York's notorious Fire Island. First, he crosses paths in the woods with Peter Fisk, then has poolside sex with Danny DiCioccio, before hooking up with Tommy Moore around the house.",['Fire Island... uncensored.'],"['Fantasy', 'Romance']",70,1972
Baby Rosemary,1,5,"After the death of her father, a beautiful, though traumatized, young woman enters a nightmare while awaiting his funeral.","[""There Is Nothing She Wouldn't Do! See It... You Will Believe It! See It... You Will Like It!""]","['Drama', 'Fantasy', 'Horror']",70,1976
Flossie,1,21,"The young girl Flossie comes straight from a Swiss boarding school to Stockholm where she meets a young embassy clerk, Jack Archer. Together with her friend Eva each tell the other two of previous sexual encounters as well as creating new memories.",['A Thing of Beauty is a Joy Forever'],"['Romance', 'Drama']",64,1974
Butterfly,1,5,"Denise is a beautiful country girl whose life is filled with joy and love for her handsome boyfriend, Freddy. But living in an idyllic existence soon bores her, and she is off to the big city to experience the glamour and glitz for herself. She meets Frank, a dashing nightclub owner who takes her under his wing. But she doesn't take kindly to the fact that she's just one of his stable of women and must choose between the big city life and her dreary farm life.",['Superb!!! Miles apart from the rest.'],['Drama'],26,1975
Teachers,1,5,"Textbooks, homework, detention, lube, dildos... another typical day at Fillmore Bush Academy, where Sex-Ed is a hands-on class. When the girls' intimate diary goes missing, they will do anything to keep the teachers from discovering their secrets.",['Extra credit never felt so good.'],['Comedy'],70,2009
Nurses,1,5,"The sexy nurses of Coos County General Hospital are patient care experts of the most FEVERISH kind. With these hot nurses bathing, pampering, and tending to your every need, it's easy to see why no one wants to check out.","['Hot', 'Intesive Care.']",['Comedy'],70,2009
Bijou,1,5,A construction worker steals an accident victim's purse and finds an invitation to a mysterious club called Bijou. There he enters a strange erotic world where dark fantasies become reality.,"['From the maker of ""Boys in the Sand""']","['Fantasy', 'Drama', 'Horror']",70,1972
The Young Like It Hot,1,5,"Threatened by automation, telephone operators at a small-town company turn to phone-sex.",['Every pleasure awaits you!'],['Comedy'],70,1983
The Band,1,5,"When lead singer Jimmy Taranto dumps his girlfriend Candy then his rock band Gutter Filth, Candy decides to take his place in the band. Together with anal bass player GB, cross-dressing drummer Dee and Jennifer their loyal manager, they begin a journey to stardom. While their success eclipses Jimmy's, Candy still can't find the true love she is looking for. But sometimes the things you want are right in front of you.","['Sex', ""drugs and Rock 'n Roll""]","['Comedy', 'Music', 'Romance']",2,2009
Heavenly Desire,1,5,"In 1879 Wild West California, prostitute Mary Lou and her friend Rosebud are accidentally gunned down after witnessing the death of Mary Lou's dim-witted lover Ralph. 100 years later, the Devil recruits the limbo-state souls of Mary Lou and Rosebud to return to their brothel, now a Los Angeles college sorority, to try to bring two newcomers to the place, Ellen and Sue, to make them lose their virginity to their boyfriends in order for them to gain access into swinging Hell.",['Heavenly Desire Is Hotter Than Hell!'],"['Comedy', 'Fantasy', 'Western']",70,1979
Forced Entry,1,5,A crazed Vietnam vet hunts down and kills women.,['He was Trained to Kill… and Kill… and Kill… and Kill…'],"['Horror', 'Crime']",70,1973
Life Love Lust,1,6,"LIFE: After finishing their day at the restaurant, a chef and a waitress have an incredible encounter to celebrate his birthday.  LOVE: A forty-something executive seduces a young man she occasionally meets in a city hotel.  LUST: Lola uses her whole body to give an intense skin on skin massage to a shy and lonely woman, driving her to pure ecstasy.",['Five stories for her'],"['Drama', 'Romance']",62,2010
Dixie Ray: Hollywood Star,1,5,"Dixie Ray, a beautiful but bad starlet, finds herself the target of a vicious blackmailer - and in desperate need of Nick's services in more ways than one. If Nick can stop the extortionist, he'll receive his usual fee, plus the carnal pleasures that only a Hollywood star can provide.",['Welcome to the big time!'],"['Drama', 'Mystery']",70,1983
9 Lives of a Wet Pussy,1,5,A series of related episodes featuring the erotic escapades of a young New York heiress and the people associated with her.,['Your erotic fantasies never went so far!!!'],"['Drama', 'Fantasy']",70,1976
Once Upon a Girl,1,5,"Mother Goose has been put on trial for obscenity, and the evidence being presented is a collection of pornographic animated shorts. Included in the mix are adult versions of Jack and the Beanstalk, Cinderella and Snow White, in which just about every sexual combination possible is given a try.",['Badtime Stories For Grown Ups'],"['Animation', 'Comedy', 'Fantasy']",70,1976
The Preacher's Daughter,1,5,"The story of Marissa, the 19 year old daughter of a small town preacher. She’s always been “Daddy’s little girl” and never been in trouble, that is, until she meets Billy the town’s bad boy from the wrong side of the tracks. Before long, the two become lovers, but Marissa’s perfect world is turned upside down as her mother and father forbid her from seeing Billy, saying he’s a heathen and he’ll ruin her life. But the more they try to drive the two young lovers apart, the stronger their bond grows.",['Temptation just walked into town...'],['Drama'],70,2016
Babyface,1,5,"A construction worker has sex with an underaged girl during his lunch break and is discovered by the girl’s mother who chases him away. He jumps into the river and floats away to safety downstream where he is welcomed and cared for by two busty ladies who clean him up and offer him a job at the local male brothel. There, he performs various sex acts for money and tries to stay out of trouble.","[""America's Newest Sweetheart. 99 44/100% Pure!""]",['Comedy'],70,1977
I.K.U.,1,14,Reiko is a sex robot programmed to accumulate sexual experience. She goes through seven body types to experiences a variety of couplings. She returns to the company to download her accumulated info and escape from their control.,['This is not love. This is sex.'],"['Science Fiction', 'Romance']",40,2001
Bad Advice,1,5,"Most people have the best intentions, but not always! Pampered housewife Karen has little to do besides listen to gossip at the salon. But when the topic turns to her own husband's infidelity, she goes off the rails and the accusations fly! Now convinced of his cheating ways, she starts her own journey through online dating with sexy, exciting and unexpected results. Bad Advice. You never know where it's going to land you!","['Keep your friends close', 'and your frenemies closer.']",['Romance'],70,2015
China Girl,1,5,"Top government agent, David Chase is assigned to protect renowned biochemist Teresa Hardgrave, who holds the formula for total recall. Seeking the formula are Madame Woo and her vicious boss, Mr. Chan, who kidnap Teresa and force her to undergo a series of sexual punishments.",['...the embodiment of forbidden pleasure.'],"['Romance', 'Comedy', 'Crime']",70,1974
Hot & Saucy Pizza Girls,1,5,"At the most popular pizza parlor in Berkeley, something extra comes with the toppings: all of the beautiful, skateboarding pizza girls are the classiest working girls in town! But when two competing fried chicken giants decide to join forces to put the pizza girls out of business, it’s up to the girls and their boss to save the day and survive the mysterious chicken rapist!",['We Deliver!!!'],['Comedy'],70,1978
Public Affairs,1,5,"An investigative reporter is out to expose a crooked political candidate, Nicholas Stern, but also ends up exposing more than just a little of herself along the way.",['Make 1984 an erection year!'],"['Comedy', 'Drama']",70,1983
Snow White XXX: An Axel Braun Parody,1,5,"Snow White XXX: An Axel Braun Parody is a sexy, dramatic take on the Brothers Grimm's dark story that will change the way you remember fairy tales forever.",['Vanity is the mother of all evil'],"['Fantasy', 'Comedy']",70,2014
Nightdreams,1,5,"In an experiment, a pair of scientists use electric jolts to induce a sleeping woman to have erotic dreams.","[""I Know You're Watching Me""]",['Fantasy'],70,1981
The Experiment,1,5,"The stunning chronicle of two male friendships and the homosexual ""experiment"" that changed their lives forever.",['What was it he was running away from to seek new sexual adventures?'],['Drama'],70,1973
Pretty Peaches 2,1,5,"When Peaches' boyfriend Bobby peeps on Peaches' divorced mother, the mother forces him to strip and rapes him. Thinking her mother is prude, Peaches looks for sexual advise from both her stepfather and her Vietnam veteran step uncle.",['Peaches Loves To Watch And Learn...'],['Comedy'],70,1987
In the Sign of the Taurus,1,3,"The town's wealthy benefactor dies, and leaves a bizarre bequest: unless one of the self-righteous citizens can produce an illegitimate child in 9 1/2 months, all his money goes to homeless cats, and they must start paying taxes.","[""The Count's will was serious and that's no bull!""]","['Romance', 'Comedy']",14,1974
Babysitters,1,5,"Babysitters is a sexually charged, real-life story about the mesmerizing effect babysitters have on different people. Babysitters hosts an incredible roster of stars. Behind the manicured lawns and the double French doors, sexy babysitters are doing what they do best and it has NOTHING to do with babies!","['Knock', 'knock... ""Honey the babysitter is here.""']",['Comedy'],70,2007
Corruption,1,5,"Williams owes a debt. A debt he may not be able to repay. His daughter is a beautiful innocent, thrust into a world of carnal vengeance. His mistress provides comfort, but may not be able to save his fate. His employee tries to help, but cannot resist his sinister desires. Only his brother holds the final, shocking surprise in this web of erotic deceit.","[""One man's fantasy is another man's reality""]","['Crime', 'Drama', 'Horror']",70,1983
A Climax of Blue Power,1,5,"In his off hours, a creepy security guard masquerades as a police officer, hassles prostitutes who think he's a real cop and lets them go in return for free sex. One day he happens to witness a woman murder her husband, and he decides that she should be punished for her crime, but in his own way.",['An Emotional and Physical Turn-On From Beginning to End...'],"['Horror', 'Crime', 'Drama']",70,1974
"Kim Kardashian, Superstar",1,5,"She's the Daughter of O.J. Simpson's Lawyer Robert Kardashian, the Stepdaughter of Olympic Gold Medalist Bruce Jenner and the Best Friend of Paris Hilton; He's a Best-Selling Indie Hip Hop Recording Artist Who Has Been Linked with Lil' Kim and Most Recently Whitney Houston -- and when you see what he is packing, you'll know why. Now it's Kim Kardashian and Ray J in the hottest celebrity DVD ever made.",['The Hottest Hollywood Sex Tape Scandal'],['Romance'],70,2007
Deadpool XXX: An Axel Braun Parody,1,5,"Time to make the chimichangas! The merc with the mouth finally gets his own porn parody, thanks to legendary Director Axel Braun and Wicked Comix, and while this movie doesn't have Ryan Reynolds, it does have ridiculously hot chicks, a buttload of sex, and tons of epic boobs! Staring Seth Gamble in a hilarious, Award-Worthy turn as the regenerating degenerate, Wicked girl jessica drake as Lady Deadpool, Romi Rain as Elektra, plus The Punisher, Wolverine and not one but two Domino's!","['Bom Chicka Wah Wah', 'Motherf@%#ers!']","['Comedy', 'Action', 'Adventure']",70,2018
Young Pussy,1,5,Young Pussy is the best and these sluts are more than willing to give it up to whomever wants it. These young gals are ready to learn the art of fucking from your hard cock. Teach them all the naughty things you love to do when fucking!!,['Teach them all the naughty things you love to do when fucking!!'],['Romance'],70,2015
Bridesmaids,1,5,"Best girlfriends come together to share a special moment; a wedding day! But before the bride can walk down the aisle, competing maids of honor Jesse Jane and Kayden Kross square off in a set of time honored traditions. A feisty fitting that features a horny back room fling , a wild bachelorette party where the male strippers aren't safe from the overheated honeys and a bridal shower that ends with the girls in jail! Award winning director Robby D. showcases Digital Playground contract superstars Jesse Jane, Kayden Kross, and Stoya as the beautiful bridesmaids. With 7 steamy sex scenes that include naughty girls Brooklyn Lee, Vicki Chase and Alyssa Branch as the bride. Bridesmaids will excite you with fun, passion, and desire!",['All is fair in love and weddings!'],['Romance'],70,2013
The Fireworks Woman,1,5,The sexual exploits of a girl in love with her brother who decides to join the priesthood.,['What Happens When a Brother and Sister Break the Ultimate Taboo?'],"['Fantasy', 'Horror', 'Romance']",70,1975
This Ain't Die Hard XXX,1,5,A XXX parody of the classic 1988 film Die Hard.,['Yippee Ki-yay Mother Fucker!'],"['Action', 'Comedy']",70,2013
This Ain't Star Trek XXX,1,5,"The starship Enterprise finds the SS Botany Bay carrying humans from the 21st Century. Spock is fascinated by Ruth, who was dipped in Venus fluid moments after her birth. Ship historian Lt. Marla McGivers becomes entranced by Kahn, who plans to use her to take over the ship. A Vulcan female called Chandra, who just happens to be suffering from Pon Far, beams aboard to warn Kirk about Kahn and 'the Craving'. Indeed, Kahn releases the PSI2000 virus into the ships ventilation system which brightens everyones pupils. Dr. McCoy concludes that the only antidote is to have a powerful orgasm as soon as possible.",['They Boldly Go there...'],"['Comedy', 'Science Fiction']",70,2009
L.A. Zombie,1,5,"An extraterrestrial zombie, whose appearance constantly shifts between that of a corpse, a tusked beast with irregular genitals, and a normal man, emerges from the sea, and begins making its way to Los Angeles.",['He came to **** the dead back to life'],['Horror'],29,2010
Prisoner of Paradise,1,5,"In Bob Chinn’s big budget mix of X rated war epic and Nazisploitation, John Holmes stars as an American G.I. who gets marooned on a tropical island after his ship is bombed. There he discovers a small Nazi outpost which has kidnapped a beautiful American nurse. Determined to save her, he slowly begins to infiltrate the Nazi compound.",['Kidnapped for bizarre sex rites... on a sun-drenched island of SIN!'],['Drama'],70,1980
Xena XXX: An Exquisite Films Parody,1,5,"Xena and Gabrielle are on a journey to help a friend in need in the adult feature Xena XXX. They find their long time friend and confidant, Hercules, who is on his own journey. Together they face both mortals and dogs from their past, some are friend and some are foe. Whether they are on or off their battlefield, devouring their enemies, or devouring each other, the encounters are always intense and epic. When the dust settles and the action appears to be over, Xena and Gabrielle have their long awaited intimate time together that brings the excitement up to a whole new level!",['An erotic twist on the long-running TV series'],"['Fantasy', 'Comedy', 'Action', 'Adventure']",70,2012
The Nerd's Revenge,1,5,"Kristen Scott is sitting under a tree, doing homework, when she is bombarded by two bullies. Running past, Derek and Alex peg her with water balloons. At home, Kristen stares at herself in the bathroom mirror. The shower runs in the background and fogs the mirror up. Wiping away the steam, she cries at her reflection in self-pity. The crying builds up to hysterics before slowly turning into laughter. Kristen sets in motion a foolproof plan for bittersweet revenge.","[""Kristen Scott's First DP""]",['Drama'],8,2018
Femmes de Sade,1,5,"After Rocky gets out of prison, he makes up for lost time by terrorizing some prostitutes. But the women are not going to take it and make it their business to get revenge on him.",['Love is a hurting thing'],"['Crime', 'Drama']",70,1976
Mona: The Virgin Nymph,1,5,Mona is engaged but wants to remain untouched until she is married.,['The picture with W.O.M. * Word of Mouth'],['Comedy'],70,1970
Candy Goes to Hollywood,1,5,Bubble-brained Candy Christian travels to Hollywood to make it big and instead gets taken under the wing of a sleazy 'talent agent' bent on exploiting her for his own personal gain.,['The dream goes on...'],['Comedy'],70,1979
Too Naughty to Say No,1,5,"Two students at a Catholic girls schools are best friends. One is a shy, withdrawn girl, and the other is a wild, party-'til-you-drop hellraiser. The partier decides to give her ""good girl"" friend an education in the ways of the world.",['Nasty Enough To Say Yes!'],"['Drama', 'Comedy']",70,1985
Star Wars: The Last Temptation,1,5,"Is there anything sexier than the dark side? In order to complete her Jedi training, Rey must master her lust - and not just for power! When Kylo Ren bombards her mind with sex soaked dreams, Rey knows she has to fuck him, or destroy him, once and for all! But is this dirty Jedi mind trick all a trap? or will Rey's first taste of RAW power drive her to the dicks of darkness?",['A Digital Playground XXX Parody'],['Science Fiction'],70,2018
"Hard Soap, Hard Soap",1,5,"Penny and Linda are two happy housewives who just can't help but want to solve everyone else's personal problems. But Penny has big problems of her own, namely with her psychiatrist husband, Dr. John Holmes, whose romantic abilities have been unbearably hindered. As Penny and Linda find themselves besieged by a never-ending supply of perverts, weirdos, and other types of misfits they decide it's time to take matters into their own hands to return their lives to idyllic suburban bliss.","['Lather Up', 'Guys!!']","['Comedy', 'Romance']",70,1977
1001 Perversions of Felicia,1,8,"Paul and Gabrielle, a young married couple, take in their neighbor's teenage daughter, Felicia, for a few weeks in the summer. It isn't long before the precocious and seductive Felicia sets her sights on the two of them.","[""She's More Than A Woman... She's Almost A Goddess!""]",['Drama'],18,1975
The Vixens of Kung Fu (A Tale of Yin Yang),1,5,"A hooker is drugged and gang raped, runs away and finds protection with a clan of girls trained in kung fu by a martial artist. With this help, the young woman will take her revenge.","[""You'll Get A Kick Out Of Them!""]",['Action'],70,1975
Trashy Lady,1,5,"Trashy Lady is a period piece set against the backdrop of the roaring 1920's Chicago underworld, during the days of prohibition, well-dressed gangsters and tommy-guns. Harry Reems plays mobster, Dutch Siegel, who has just been dumped by his filthy mouthed girlfriend, Cara Lott. Shortly after, he falls for the new cigarette girl, Ginger Lynn, whom he meets at his posh club. Dutch wants Kitty as his dame, but a problem exists - she's too classy for him. Kitty is a lady and Dutch likes his dames trashy. He employs a local whore, Rita, played by Amber Lynn, to teach Kitty the 'right' ways to act. His problems are compounded when another local mobster, Big Louie decides to take revenge against Dutch because he believes that he's been sleeping with his girl, sparking a small gang war.",['Trashy Lady: Experience the sensational...'],['Comedy'],70,1985
Casey,1,5,"With the help of his fairy godmother, Casey learns sex can be freeing and fun as he brings all his fantasies to life.",['Casey Wants a Date With You!'],"['Drama', 'Comedy', 'Fantasy']",70,1971
LA Plays Itself,1,5,Two men have a fleetingly idyllic meeting outside of Los Angeles while Fred Halsted shows a young pick-up the ropes within city limits.,"[""Fred Halsted's homosexual film""]",['Drama'],70,1972
